gene,location,confidence
DGAT1,Endoplasmic reticulum,2.0
DGCR14,Nucleus,2.0
DGCR2,Nucleus,2.0
DGCR2,Nucleus,2.0
DGKA,Nucleus,2.0
DGKA,Vesicles,2.0
DGKA,Mitochondria,2.0
DGKD,Cytosol,1.0
DGKE,Nucleus,0.0
DGKE,Cytosol,1.0
DGKG,Vesicles,2.0
DGKG,Plasma membrane,2.0
DGKI,Nucleus,2.0
DGKZ,Nucleus,1.0
DHCR7,Endoplasmic reticulum,4.0
DHCR7,Cytosol,1.0
DHDDS,Plasma membrane,0.0
DHDH,Nucleus,2.0
DHDH,Cytoskeleton,2.0
DHFR,Mitochondria,1.0
DHFRL1,Mitochondria,1.0
DHODH,Nucleus,2.0
DHODH,Mitochondria,6.0
DHPS,Nucleus,2.0
DHPS,Cytosol,2.0
DHPS,Plasma membrane,2.0
DHRS1,Nucleus,2.0
DHRS1,Cytoskeleton,2.0
DHRS1,Cytosol,2.0
DHRS11,Golgi apparatus,2.0
DHRS11,Cytosol,2.0
DHRS12,Nucleus,1.0
DHRS12,Golgi apparatus,2.0
DHRS12,Vesicles,2.0
DHRS13,Vesicles,2.0
DHRS2,Nucleus,3.0
DHRS2,Mitochondria,3.0
DHRS3,Nucleolus,2.0
DHRS3,Mitochondria,2.0
DHRS4,Nucleus,2.0
DHRS4,Vesicles,2.0
DHRS4L2,Nucleus,0.0
DHRS4L2,Vesicles,0.0
DHRS7,Nucleus,2.0
DHRS7,Mitochondria,2.0
DHRS7B,Plasma membrane,2.0
DHRS7B,Plasma membrane,2.0
DHRS7B,Cytosol,2.0
DHRSX,Cytoskeleton,2.0
DHRSX,Cytosol,2.0
DHTKD1,Mitochondria,3.0
DHX15,Nucleus,3.0
DHX16,Nucleus,1.0
DHX29,Cytosol,2.0
DHX30,Cytosol,1.0
DHX30,Mitochondria,4.0
DHX33,Nucleolus,1.0
DHX34,Nucleus,0.0
DHX34,Cytoskeleton,0.0
DHX35,Nucleus,2.0
DHX35,Nucleus,2.0
DHX35,Cytoskeleton,2.0
DHX36,Nucleus,1.0
DHX36,Cytosol,1.0
DHX37,Nucleus,2.0
DHX38,Nucleus,1.0
DHX40,Nucleus,1.0
DHX57,Nucleolus,2.0
DHX57,Cytoskeleton,2.0
DHX57,Cytoskeleton,2.0
DHX57,Cytosol,2.0
DHX58,Nucleus,2.0
DHX58,Golgi apparatus,1.0
DHX58,Cytosol,1.0
DHX8,Nucleus,1.0
DHX8,Nucleus,1.0
DHX9,Nucleus,3.0
DIABLO,Mitochondria,6.0
DIAPH1,Plasma membrane,2.0
DIAPH2,Nucleolus,2.0
DIAPH2,Endoplasmic reticulum,2.0
DIAPH2,Vesicles,1.0
DIAPH3,Cytoskeleton,1.0
DIAPH3,Plasma membrane,1.0
DICER1,Cytosol,1.0
DIDO1,Nucleus,2.0
DIDO1,Vesicles,2.0
DIEXF,Nucleus,2.0
DIEXF,Golgi apparatus,2.0
DIMT1,Nucleus,1.0
DIMT1,Nucleolus,2.0
DIMT1,Cytosol,2.0
DIO2,Nucleus,1.0
DIO2,Cytosol,1.0
DIP2A,Nucleus,2.0
DIP2B,Endoplasmic reticulum,2.0
DIP2C,Nucleus,2.0
DIP2C,Vesicles,2.0
DIP2C,Cytosol,2.0
DIRAS3,Nucleus,2.0
DIRAS3,Cytosol,2.0
DIRC1,Cytosol,2.0
DIRC2,Vesicles,1.0
DIS3,Nucleus,1.0
DIS3,Cytosol,1.0
DIS3L,Cytoskeleton,2.0
DIS3L,Cytosol,2.0
DIS3L,Plasma membrane,2.0
DISP1,Nucleus,2.0
DISP2,Nucleus,2.0
DISP2,Vesicles,2.0
DIXDC1,Cytosol,3.0
DKC1,Nucleus,1.0
DKC1,Nucleolus,1.0
DKK2,Golgi apparatus,0.0
DKK3,Vesicles,2.0
DKKL1,Vesicles,2.0
DLAT,Mitochondria,6.0
DLC1,Nucleus,2.0
DLC1,Golgi apparatus,2.0
DLC1,Vesicles,2.0
DLD,Mitochondria,4.0
DLEC1,Cytosol,1.0
DLEU1,Cytosol,2.0
DLEU1,Plasma membrane,2.0
DLG1,Vesicles,0.0
DLG1,Plasma membrane,3.0
DLG2,Vesicles,2.0
DLG2,Plasma membrane,2.0
DLG3,Nucleus,2.0
DLG3,Nucleolus,2.0
DLG4,Vesicles,2.0
DLG5,Plasma membrane,1.0
DLGAP4,Nucleus,2.0
DLGAP4,Cytoskeleton,2.0
DLGAP4,Cytosol,2.0
DLGAP5,Cytoskeleton,2.0
DLGAP5,Cytosol,1.0
DLK1,Golgi apparatus,2.0
DLK2,Nucleus,2.0
DLL3,Nucleus,2.0
DLL3,Cytosol,2.0
DLX1,Nucleus,2.0
DLX1,Vesicles,2.0
DLX1,Plasma membrane,2.0
DLX2,Nucleus,2.0
DLX4,Nucleus,2.0
DLX5,Nucleus,0.0
DLX6,Nucleus,2.0
DMAP1,Nucleus,1.0
DMAP1,Cytosol,1.0
DMC1,Nucleus,2.0
DMGDH,Mitochondria,0.0
DMKN,Nucleus,2.0
DMKN,Cytosol,2.0
DMPK,Vesicles,1.0
DMPK,Cytosol,2.0
DMRTA1,Vesicles,2.0
DMRTA2,Mitochondria,2.0
DMTF1,Nucleus,1.0
DMWD,Cytoskeleton,2.0
DMWD,Plasma membrane,2.0
DMXL1,Nucleolus,1.0
DMXL1,Cytosol,1.0
DNA2,Mitochondria,1.0
DNAAF1,Nucleus,2.0
DNAAF1,Cytosol,2.0
DNAAF1,Plasma membrane,2.0
DNAAF2,Cytosol,1.0
DNAAF3,Nucleus,2.0
DNAAF3,Mitochondria,2.0
DNAAF5,Nucleus,2.0
DNAAF5,Cytosol,2.0
DNAH14,Cytoskeleton,2.0
DNAH2,Cytoskeleton,2.0
DNAH3,Nucleus,2.0
DNAH3,Cytoskeleton,2.0
DNAH7,Cytosol,1.0
DNAJA1,Cytoskeleton,1.0
DNAJA1,Cytosol,1.0
DNAJA2,Nucleolus,2.0
DNAJA2,Cytoskeleton,2.0
DNAJA2,Cytosol,2.0
DNAJA3,Mitochondria,4.0
DNAJA4,Cytosol,2.0
DNAJA4,Plasma membrane,2.0
DNAJB1,Nucleus,3.0
DNAJB1,Cytosol,3.0
DNAJB11,Endoplasmic reticulum,4.0
DNAJB12,Endoplasmic reticulum,4.0
DNAJB2,Nucleus,3.0
DNAJB4,Nucleus,3.0
DNAJB4,Cytosol,3.0
DNAJB4,Plasma membrane,3.0
DNAJB5,Nucleus,2.0
DNAJB5,Cytosol,2.0
DNAJB6,Nucleus,1.0
DNAJB9,Endoplasmic reticulum,2.0
DNAJB9,Cytosol,2.0
DNAJC1,Endoplasmic reticulum,5.0
DNAJC11,Cytosol,2.0
DNAJC12,Nucleus,2.0
DNAJC12,Cytosol,2.0
DNAJC13,Vesicles,1.0
DNAJC13,Cytosol,1.0
DNAJC16,Vesicles,2.0
DNAJC17,Nucleus,2.0
DNAJC18,Plasma membrane,1.0
DNAJC2,Cytosol,1.0
DNAJC21,Vesicles,2.0
DNAJC22,Vesicles,2.0
DNAJC24,Cytosol,2.0
DNAJC25,Nucleus,2.0
DNAJC25,Cytosol,2.0
DNAJC27,Cytosol,1.0
DNAJC3,Endoplasmic reticulum,5.0
DNAJC5,Golgi apparatus,0.0
DNAJC6,Nucleus,2.0
DNAJC6,Cytosol,2.0
DNAJC6,Plasma membrane,2.0
DNAJC7,Nucleus,1.0
DNAJC7,Cytosol,1.0
DNAJC8,Nucleus,3.0
DNAJC9,Nucleus,1.0
DNAJC9,Plasma membrane,1.0
DNAL1,Nucleus,2.0
DNAL1,Cytoskeleton,2.0
DNAL4,Nucleus,2.0
DNAL4,Nucleolus,2.0
DNAL4,Cytoskeleton,2.0
DNAL4,Cytosol,2.0
DNASE1,Vesicles,2.0
DNASE1L2,Mitochondria,2.0
DNHD1,Nucleus,2.0
DNHD1,Cytoskeleton,2.0
DNLZ,Nucleus,2.0
DNLZ,Mitochondria,3.0
DNM1,Nucleus,1.0
DNM1L,Vesicles,1.0
DNM1L,Cytosol,3.0
DNM2,Golgi apparatus,3.0
DNM2,Cytosol,2.0
DNM3,Golgi apparatus,2.0
DNMBP,Nucleolus,2.0
DNMBP,Nucleus,2.0
DNMBP,Golgi apparatus,2.0
DNMBP,Cytosol,2.0
DNMT1,Nucleus,3.0
DNMT3A,Nucleus,1.0
DNMT3B,Nucleus,2.0
DNMT3B,Vesicles,2.0
DNMT3L,Nucleus,2.0
DNPEP,Cytosol,1.0
DNPH1,Nucleus,2.0
DNPH1,Cytosol,1.0
DNTT,Nucleus,2.0
DNTT,Cytosol,2.0
DNTTIP1,Nucleus,3.0
DNTTIP2,Nucleolus,3.0
DOC2A,Nucleus,0.0
DOC2A,Nucleolus,0.0
DOC2A,Plasma membrane,0.0
DOCK1,Nucleus,3.0
DOCK10,Nucleus,2.0
DOCK10,Cytosol,2.0
DOCK11,Nucleus,2.0
DOCK11,Nucleolus,2.0
DOCK3,Cytosol,3.0
DOCK4,Nucleolus,2.0
DOCK4,Golgi apparatus,2.0
DOCK4,Cytosol,1.0
DOCK4,Plasma membrane,1.0
DOCK5,Cytosol,3.0
DOCK6,Cytosol,1.0
DOCK8,Nucleus,0.0
DOCK8,Cytoskeleton,0.0
DOCK8,Cytosol,0.0
DOCK8,Mitochondria,0.0
DOHH,Nucleus,2.0
DOHH,Cytosol,2.0
DOK1,Cytosol,1.0
DOK4,Vesicles,2.0
DOK4,Cytoskeleton,2.0
DOK4,Cytoskeleton,2.0
DOK5,Cytoskeleton,2.0
DOK6,Cytoskeleton,2.0
DOK6,Cytosol,2.0
DOK7,Nucleus,2.0
DOK7,Mitochondria,2.0
DOLK,Nucleus,0.0
DOLK,Cytosol,0.0
DOLPP1,Vesicles,2.0
DOLPP1,Cytoskeleton,2.0
DONSON,Nucleus,2.0
DONSON,Plasma membrane,2.0
DONSON,Cytosol,2.0
DOPEY1,Nucleus,2.0
DOPEY2,Nucleus,2.0
DOPEY2,Mitochondria,2.0
DOT1L,Nucleus,3.0
DPCD,Nucleus,2.0
DPEP1,Nucleus,0.0
DPEP1,Plasma membrane,5.0
DPF1,Nucleus,2.0
DPF1,Cytosol,2.0
DPF1,Mitochondria,2.0
DPF2,Nucleus,1.0
DPF3,Nucleus,3.0
DPH1,Nucleus,1.0
DPH1,Plasma membrane,2.0
DPH2,Nucleus,2.0
DPH3,Nucleus,1.0
DPH3,Cytosol,1.0
DPH5,Golgi apparatus,0.0
DPH6,Nucleus,3.0
DPH6,Nucleolus,3.0
DPH7,Nucleus,2.0
DPP10,Nucleus,2.0
DPP10,Vesicles,2.0
DPP10,Cytosol,2.0
DPP3,Nucleus,0.0
DPP3,Cytosol,3.0
DPP3,Plasma membrane,0.0
DPP7,Golgi apparatus,3.0
DPP7,Vesicles,3.0
DPP8,Cytosol,1.0
DPP9,Cytosol,1.0
DPPA2,Nucleus,2.0
DPT,Vesicles,2.0
DPY19L1,Vesicles,2.0
DPY19L2,Nucleus,2.0
DPY19L2,Mitochondria,2.0
DPY19L3,Cytoskeleton,2.0
DPY19L4,Vesicles,2.0
DPY30,Nucleus,3.0
DPY30,Golgi apparatus,3.0
DPYSL2,Cytosol,1.0
DPYSL2,Plasma membrane,2.0
DPYSL3,Cytosol,1.0
DPYSL4,Vesicles,2.0
DPYSL4,Mitochondria,2.0
DPYSL5,Nucleus,2.0
DPYSL5,Cytosol,2.0
DQX1,Cytosol,2.0
DQX1,Plasma membrane,2.0
DR1,Nucleus,1.0
DRAM2,Golgi apparatus,3.0
DRAM2,Vesicles,3.0
DRAP1,Cytosol,2.0
DRG1,Nucleus,2.0
DRG1,Cytosol,1.0
DRG2,Nucleus,2.0
DRG2,Vesicles,2.0
DRG2,Cytosol,1.0
DRGX,Nucleus,2.0
DRGX,Nucleolus,2.0
DRGX,Cytosol,2.0
DRICH1,Nucleus,2.0
DRICH1,Nucleolus,2.0
DROSHA,Nucleus,1.0
DROSHA,Plasma membrane,0.0
DSC3,Plasma membrane,4.0
DSC3,Plasma membrane,2.0
DSCAM,Nucleus,2.0
DSCAM,Cytosol,2.0
DSCC1,Nucleus,2.0
DSCR3,Mitochondria,2.0
DSE,Nucleus,1.0
DSE,Cytosol,1.0
DSEL,Nucleus,2.0
DSEL,Plasma membrane,2.0
DSG2,Plasma membrane,8.0
DSN1,Nucleus,1.0
DSP,Plasma membrane,3.0
DST,Nucleus,2.0
DST,Cytoskeleton,2.0
DST,Cytosol,2.0
DSTYK,Nucleus,0.0
DSTYK,Cytoskeleton,0.0
DTD1,Nucleolus,0.0
DTD1,Cytosol,0.0
DTD2,Vesicles,2.0
DTL,Nucleus,3.0
DTL,Cytosol,2.0
DTNA,Nucleus,0.0
DTNA,Cytoskeleton,2.0
DTNA,Plasma membrane,1.0
DTNB,Mitochondria,2.0
DTNBP1,Cytoskeleton,1.0
DTNBP1,Cytoskeleton,1.0
DTWD1,Nucleus,2.0
DTWD1,Nucleolus,2.0
DTWD1,Vesicles,2.0
DTWD2,Nucleus,1.0
DTX1,Nucleus,1.0
DTX1,Nucleus,1.0
DTX1,Cytosol,1.0
DTX2,Nucleus,1.0
DTX2,Nucleus,1.0
DTX3,Nucleus,2.0
DTX3,Nucleolus,2.0
DTX3,Golgi apparatus,2.0
DTX3L,Nucleus,1.0
DTX3L,Cytosol,1.0
DTX4,Vesicles,2.0
DTYMK,Mitochondria,4.0
DUS1L,Plasma membrane,2.0
DUS2,Cytosol,3.0
DUS3L,Nucleus,2.0
DUS3L,Cytosol,2.0
DUS4L,Cytosol,2.0
DUSP1,Nucleolus,2.0
DUSP1,Cytosol,2.0
DUSP10,Nucleus,1.0
DUSP10,Golgi apparatus,2.0
DUSP10,Cytosol,1.0
DUSP11,Nucleus,1.0
DUSP11,Nucleolus,1.0
DUSP11,Cytoskeleton,0.0
DUSP12,Nucleus,1.0
DUSP14,Nucleus,2.0
DUSP14,Cytosol,2.0
DUSP15,Cytosol,2.0
DUSP15,Plasma membrane,2.0
DUSP16,Nucleus,1.0
DUSP18,Nucleus,1.0
DUSP19,Nucleus,2.0
DUSP2,Nucleus,1.0
DUSP2,Nucleus,1.0
DUSP22,Nucleus,2.0
DUSP22,Vesicles,2.0
DUSP23,Nucleus,1.0
DUSP26,Nucleus,1.0
DUSP27,Nucleus,2.0
DUSP28,Nucleus,0.0
DUSP28,Cytosol,0.0
DUSP3,Nucleus,1.0
DUSP3,Cytosol,2.0
DUSP4,Nucleus,1.0
DUSP6,Nucleus,0.0
DUSP6,Cytosol,1.0
DUSP8,Cytosol,2.0
DUSP9,Endoplasmic reticulum,2.0
DUT,Nucleus,1.0
DUX4,Nucleus,2.0
DUX4,Nucleolus,2.0
DUX4,Cytosol,2.0
DVL2,Nucleus,3.0
DVL2,Nucleus,3.0
DVL3,Cytoskeleton,2.0
DVL3,Cytoskeleton,2.0
DVL3,Cytoskeleton,2.0
DXO,Nucleus,1.0
DXO,Cytosol,2.0
DXO,Plasma membrane,2.0
DYM,Golgi apparatus,1.0
DYNC1H1,Cytoskeleton,1.0
DYNC1H1,Cytosol,1.0
DYNC1I2,Nucleolus,1.0
DYNC1I2,Endoplasmic reticulum,1.0
DYNC1I2,Cytoskeleton,2.0
DYNC1I2,Cytosol,1.0
DYNC1LI1,Cytoskeleton,1.0
DYNC1LI1,Cytosol,1.0
DYNC1LI2,Cytoskeleton,2.0
DYNC1LI2,Cytosol,2.0
DYNC2H1,Mitochondria,1.0
DYNC2LI1,Cytosol,2.0
DYNLL1,Nucleus,2.0
DYNLL1,Nucleus,2.0
DYNLL1,Cytosol,2.0
DYNLL2,Nucleus,0.0
DYNLL2,Nucleus,0.0
DYNLL2,Cytosol,0.0
DYNLT1,Nucleus,1.0
DYRK1A,Nucleolus,2.0
DYRK1A,Cytosol,2.0
DYRK1B,Nucleus,2.0
DYRK2,Nucleus,1.0
DYRK2,Cytosol,1.0
DYRK3,Nucleus,1.0
DYRK3,Cytosol,0.0
DYRK4,Vesicles,3.0
DYSF,Cytoskeleton,2.0
DYSF,Plasma membrane,1.0
DYX1C1,Cytosol,1.0
DYX1C1,Plasma membrane,0.0
DZANK1,Nucleolus,2.0
DZIP1,Nucleus,1.0
DZIP1,Cytoskeleton,2.0
DZIP1,Cytosol,1.0
DZIP1L,Nucleus,2.0
DZIP1L,Cytoskeleton,2.0
DZIP1L,Cytoskeleton,2.0
DZIP3,Vesicles,2.0
E2F1,Nucleus,3.0
E2F1,Cytoskeleton,1.0
E2F3,Nucleus,1.0
E2F3,Cytosol,2.0
E2F4,Nucleus,1.0
E2F5,Nucleus,1.0
E2F5,Nucleolus,1.0
E2F6,Nucleus,1.0
E2F6,Nucleolus,1.0
E2F7,Nucleus,1.0
E2F8,Nucleus,1.0
E2F8,Nucleolus,1.0
E2F8,Cytosol,1.0
E4F1,Nucleus,3.0
EAF1,Nucleus,1.0
EAF1,Nucleus,1.0
EAF1,Vesicles,1.0
EAPP,Nucleus,1.0
EAPP,Golgi apparatus,2.0
EAPP,Cytosol,1.0
EARS2,Nucleus,2.0
EARS2,Mitochondria,3.0
EBAG9,Golgi apparatus,3.0
EBF1,Nucleus,2.0
EBF1,Vesicles,2.0
EBF3,Nucleus,2.0
EBF3,Vesicles,2.0
EBLN2,Nucleus,2.0
EBLN2,Nucleus,2.0
EBNA1BP2,Nucleolus,3.0
EBP,Endoplasmic reticulum,4.0
EBPL,Endoplasmic reticulum,1.0
ECD,Nucleus,1.0
ECD,Cytosol,1.0
ECE2,Nucleus,2.0
ECE2,Cytosol,2.0
ECEL1,Nucleus,2.0
ECEL1,Nucleus,2.0
ECEL1,Nucleolus,2.0
ECH1,Mitochondria,4.0
ECHDC2,Mitochondria,0.0
ECHDC3,Nucleus,2.0
ECHDC3,Nucleolus,2.0
ECHDC3,Mitochondria,2.0
ECHS1,Mitochondria,6.0
ECI2,Vesicles,3.0
ECM1,Nucleus,2.0
ECM1,Cytosol,2.0
ECSIT,Nucleus,1.0
ECSIT,Cytosol,1.0
ECT2,Nucleus,1.0
EDA,Vesicles,1.0
EDA,Vesicles,2.0
EDA2R,Plasma membrane,3.0
EDARADD,Nucleus,2.0
EDARADD,Cytosol,2.0
EDC3,Cytosol,1.0
EDC4,Nucleus,1.0
EDC4,Cytosol,3.0
EDEM1,Endoplasmic reticulum,2.0
EDEM3,Endoplasmic reticulum,3.0
EDF1,Nucleus,1.0
EDF1,Cytosol,1.0
EDN1,Nucleus,2.0
EDN1,Nucleolus,2.0
EDN1,Golgi apparatus,2.0
EDN2,Cytosol,2.0
EDNRB,Cytosol,2.0
EDNRB,Plasma membrane,2.0
EDRF1,Nucleus,2.0
EDRF1,Cytoskeleton,2.0
EDRF1,Cytosol,2.0
EEA1,Vesicles,1.0
EED,Nucleus,1.0
EEF1A1,Cytosol,1.0
EEF1A2,Nucleolus,3.0
EEF1A2,Cytosol,3.0
EEF1B2,Nucleolus,2.0
EEF1B2,Cytosol,2.0
EEF1D,Nucleus,1.0
EEF1D,Nucleolus,1.0
EEF1E1,Nucleus,1.0
EEF1E1,Cytosol,1.0
EEF1G,Mitochondria,2.0
EEF2,Cytosol,3.0
EEF2,Plasma membrane,3.0
EEF2K,Nucleus,2.0
EEF2KMT,Vesicles,0.0
EEFSEC,Nucleus,2.0
EEFSEC,Nucleus,2.0
EEFSEC,Cytosol,2.0
EEPD1,Nucleus,2.0
EEPD1,Vesicles,2.0
EEPD1,Plasma membrane,2.0
EFCAB1,Nucleus,2.0
EFCAB1,Plasma membrane,2.0
EFCAB11,Plasma membrane,2.0
EFCAB11,Cytosol,2.0
EFCAB14,Nucleolus,2.0
EFCAB14,Golgi apparatus,2.0
EFCAB14,Cytosol,2.0
EFCAB2,Cytosol,2.0
EFCAB2,Plasma membrane,2.0
EFCAB6,Nucleus,0.0
EFCAB7,Nucleus,2.0
EFCAB7,Nucleolus,2.0
EFCAB7,Cytosol,2.0
EFCAB7,Plasma membrane,2.0
EFEMP1,Mitochondria,0.0
EFHC1,Cytosol,2.0
EFHC1,Plasma membrane,2.0
EFHD1,Nucleolus,2.0
EFHD1,Golgi apparatus,1.0
EFHD2,Cytosol,2.0
EFNA4,Nucleus,0.0
EFNA4,Vesicles,0.0
EFNA5,Vesicles,2.0
EFNA5,Cytosol,2.0
EFNB1,Plasma membrane,6.0
EFNB2,Nucleus,1.0
EFNB2,Cytosol,1.0
EFNB3,Nucleus,2.0
EFR3A,Cytosol,1.0
EFR3A,Plasma membrane,4.0
EFR3B,Nucleus,2.0
EFS,Nucleus,0.0
EFS,Cytosol,0.0
EFTUD1,Cytosol,2.0
EFTUD2,Nucleus,1.0
EFTUD2,Cytosol,2.0
EGFL8,Nucleus,0.0
EGFL8,Vesicles,0.0
EGFR,Plasma membrane,10.0
EGLN1,Cytosol,2.0
EGLN2,Nucleus,1.0
EGLN3,Cytosol,2.0
EGR1,Nucleus,3.0
EGR2,Nucleus,1.0
EGR3,Nucleus,0.0
EGR3,Vesicles,0.0
EHBP1,Cytosol,1.0
EHBP1,Plasma membrane,1.0
EHBP1L1,Nucleolus,2.0
EHBP1L1,Cytosol,2.0
EHBP1L1,Plasma membrane,2.0
EHD1,Plasma membrane,1.0
EHD2,Plasma membrane,1.0
EHD3,Plasma membrane,2.0
EHD4,Plasma membrane,2.0
EHF,Nucleus,1.0
EHF,Golgi apparatus,1.0
EHMT1,Nucleus,1.0
EHMT1,Nucleus,1.0
EHMT2,Nucleus,1.0
EHMT2,Nucleus,1.0
EI24,Endoplasmic reticulum,3.0
EI24,Golgi apparatus,1.0
EI24,Cytosol,1.0
EID1,Nucleus,1.0
EID2,Nucleus,1.0
EID3,Nucleus,1.0
EID3,Nucleolus,1.0
EIF1AD,Nucleus,1.0
EIF1AD,Vesicles,1.0
EIF1AX,Cytosol,2.0
EIF1AY,Cytosol,2.0
EIF2A,Cytosol,2.0
EIF2A,Mitochondria,2.0
EIF2AK1,Nucleus,1.0
EIF2AK1,Cytosol,1.0
EIF2AK2,Cytosol,3.0
EIF2AK4,Cytosol,2.0
EIF2B1,Cytosol,1.0
EIF2B2,Nucleus,2.0
EIF2B2,Cytoskeleton,2.0
EIF2B2,Plasma membrane,2.0
EIF2B3,Vesicles,1.0
EIF2B3,Cytosol,1.0
EIF2B4,Nucleus,2.0
EIF2B4,Cytoskeleton,2.0
EIF2B5,Cytosol,3.0
EIF2D,Nucleus,0.0
EIF2D,Cytosol,1.0
EIF2S1,Nucleus,2.0
EIF2S1,Cytosol,3.0
EIF2S2,Nucleolus,2.0
EIF2S2,Endoplasmic reticulum,1.0
EIF3A,Nucleus,2.0
EIF3A,Cytosol,1.0
EIF3B,Nucleus,2.0
EIF3B,Cytosol,2.0
EIF3C,Cytosol,1.0
EIF3CL,Cytosol,2.0
EIF3D,Cytosol,1.0
EIF3E,Nucleus,3.0
EIF3E,Cytosol,3.0
EIF3F,Nucleolus,2.0
EIF3F,Cytosol,2.0
EIF3G,Cytosol,3.0
EIF3H,Cytosol,2.0
EIF3I,Nucleus,0.0
EIF3I,Cytosol,0.0
EIF3J,Cytosol,3.0
EIF3K,Cytosol,1.0
EIF3L,Nucleus,2.0
EIF3L,Nucleolus,2.0
EIF3M,Cytosol,1.0
EIF4A1,Cytosol,2.0
EIF4A2,Cytosol,2.0
EIF4A3,Nucleus,1.0
EIF4B,Cytosol,3.0
EIF4E,Cytosol,3.0
EIF4E,Cytosol,3.0
EIF4E2,Cytosol,2.0
EIF4E2,Mitochondria,2.0
EIF4E3,Nucleolus,2.0
EIF4EBP1,Nucleus,1.0
EIF4EBP1,Cytosol,1.0
EIF4EBP2,Nucleus,2.0
EIF4EBP2,Mitochondria,2.0
EIF4ENIF1,Vesicles,3.0
EIF4G1,Cytosol,3.0
EIF4G2,Cytosol,3.0
EIF4G3,Cytosol,2.0
EIF4H,Nucleus,2.0
EIF4H,Nucleus,2.0
EIF4H,Cytosol,2.0
EIF5,Cytosol,1.0
EIF5,Plasma membrane,1.0
EIF5A,Nucleus,3.0
EIF5A,Cytosol,3.0
EIF5A2,Vesicles,1.0
EIF5B,Cytosol,2.0
EIF5B,Plasma membrane,2.0
EIF6,Nucleus,1.0
ELAC1,Nucleus,1.0
ELAC1,Cytosol,1.0
ELAC2,Nucleus,3.0
ELAVL1,Nucleus,1.0
ELAVL1,Nucleolus,1.0
ELAVL1,Cytosol,1.0
ELAVL2,Nucleus,2.0
ELAVL2,Cytosol,2.0
ELAVL3,Vesicles,2.0
ELF1,Nucleus,1.0
ELF2,Nucleus,1.0
ELF2,Nucleus,1.0
ELF3,Nucleus,3.0
ELF4,Nucleus,2.0
ELF4,Nucleus,1.0
ELF5,Nucleus,1.0
ELFN2,Nucleus,2.0
ELFN2,Vesicles,2.0
ELK1,Nucleus,3.0
ELK3,Nucleus,1.0
ELK3,Mitochondria,2.0
ELK4,Nucleus,1.0
ELL2,Nucleus,1.0
ELL3,Nucleus,1.0
ELL3,Nucleolus,1.0
ELMO2,Cytosol,1.0
ELMO3,Plasma membrane,2.0
ELMO3,Plasma membrane,2.0
ELMOD1,Nucleus,2.0
ELMOD1,Cytosol,1.0
ELMOD2,Nucleus,2.0
ELMOD2,Nucleolus,2.0
ELMOD2,Cytosol,2.0
ELMOD3,Nucleus,2.0
ELMOD3,Mitochondria,2.0
ELMSAN1,Nucleus,3.0
ELN,Plasma membrane,2.0
ELOF1,Cytosol,2.0
ELOVL1,Endoplasmic reticulum,5.0
ELOVL3,Vesicles,2.0
ELOVL3,Cytosol,2.0
ELOVL5,Endoplasmic reticulum,6.0
ELP2,Nucleus,1.0
ELP2,Cytosol,3.0
ELP4,Nucleus,1.0
ELP5,Cytosol,1.0
ELP6,Nucleus,2.0
ELP6,Cytoskeleton,2.0
ELP6,Cytosol,2.0
EMC1,Cytoskeleton,2.0
EMC1,Cytoskeleton,2.0
EMC3,Cytoskeleton,2.0
EMC3,Cytosol,2.0
EMC4,Cytoskeleton,2.0
EMC4,Plasma membrane,2.0
EMC6,Nucleus,2.0
EMC6,Cytoskeleton,2.0
EMC7,Nucleus,2.0
EMC8,Cytosol,1.0
EMC9,Golgi apparatus,2.0
EMD,Nucleus,3.0
EMD,Endoplasmic reticulum,4.0
EME1,Nucleus,2.0
EME1,Cytosol,2.0
EMG1,Nucleus,3.0
EMG1,Nucleolus,3.0
EML2,Vesicles,2.0
EML4,Cytoskeleton,2.0
EML4,Cytoskeleton,1.0
EML4,Cytosol,2.0
EML6,Vesicles,2.0
EML6,Mitochondria,2.0
EMP1,Nucleus,2.0
EMP2,Nucleus,2.0
EMP2,Cytosol,2.0
EMP3,Nucleus,2.0
EMX1,Nucleolus,2.0
EMX2,Nucleus,2.0
EN1,Nucleus,1.0
EN1,Nucleolus,1.0
EN2,Nucleus,1.0
EN2,Nucleolus,2.0
ENAH,Cytoskeleton,3.0
ENAH,Cytosol,3.0
ENAH,Plasma membrane,3.0
ENC1,Cytosol,0.0
ENC1,Plasma membrane,0.0
ENDOD1,Nucleus,2.0
ENGASE,Cytoskeleton,2.0
ENGASE,Cytosol,2.0
ENKD1,Cytoskeleton,2.0
ENKD1,Cytosol,1.0
ENKD1,Plasma membrane,1.0
ENO1,Nucleus,3.0
ENO1,Cytosol,3.0
ENO1,Plasma membrane,6.0
ENO2,Nucleus,2.0
ENO2,Cytosol,2.0
ENO2,Plasma membrane,2.0
ENO3,Cytosol,3.0
ENO3,Plasma membrane,3.0
ENO4,Mitochondria,2.0
ENOPH1,Nucleus,2.0
ENOPH1,Nucleus,2.0
ENOX1,Plasma membrane,1.0
ENOX2,Nucleus,2.0
ENOX2,Cytoskeleton,2.0
ENPP2,Nucleus,2.0
ENPP2,Golgi apparatus,2.0
ENPP2,Cytoskeleton,2.0
ENPP6,Golgi apparatus,0.0
ENSA,Nucleus,2.0
