gene,location,confidence
AC104057.1,Nucleus,2.0
AC104057.1,Nucleus,2.0
AC104073.2,Nucleus,2.0
AC104073.2,Nucleus,2.0
AC138969.4,Nucleus,0.0
AC145212.2,Cytoskeleton,0.0
AC171558.1,Cytoskeleton,0.0
AC240274.1,Vesicles,2.0
AC241377.2,Nucleus,0.0
AC241377.2,Nucleus,0.0
AC241585.2,Nucleus,0.0
AC241585.2,Nucleus,0.0
AC245100.1,Nucleus,0.0
AC245100.1,Nucleus,0.0
ACAA1,Vesicles,3.0
ACAA2,Mitochondria,4.0
ACACA,Nucleolus,2.0
ACACA,Cytoskeleton,1.0
ACACA,Cytosol,1.0
ACAD9,Mitochondria,6.0
ACADM,Mitochondria,6.0
ACADS,Nucleus,2.0
ACADS,Mitochondria,1.0
ACADSB,Mitochondria,2.0
ACADVL,Nucleus,2.0
ACADVL,Nucleolus,0.0
ACADVL,Mitochondria,4.0
ACAP1,Vesicles,2.0
ACAP2,Vesicles,2.0
ACAP3,Nucleus,2.0
ACAP3,Golgi apparatus,2.0
ACAT1,Mitochondria,6.0
ACAT2,Nucleus,2.0
ACAT2,Cytosol,1.0
ACBD3,Golgi apparatus,2.0
ACBD4,Nucleus,2.0
ACBD4,Vesicles,2.0
ACBD5,Vesicles,3.0
ACBD6,Nucleus,2.0
ACBD6,Cytosol,1.0
ACBD7,Vesicles,2.0
ACBD7,Cytosol,2.0
ACCS,Golgi apparatus,2.0
ACD,Nucleus,3.0
ACE,Vesicles,2.0
ACHE,Golgi apparatus,2.0
ACHE,Vesicles,2.0
ACIN1,Nucleus,1.0
ACIN1,Cytosol,0.0
ACIN1,Plasma membrane,0.0
ACKR2,Nucleus,2.0
ACKR2,Vesicles,1.0
ACKR2,Cytosol,1.0
ACKR3,Vesicles,2.0
ACKR3,Plasma membrane,2.0
ACKR4,Cytosol,0.0
ACLY,Nucleus,1.0
ACLY,Cytosol,1.0
ACLY,Plasma membrane,1.0
ACMSD,Cytosol,0.0
ACO1,Cytosol,1.0
ACO1,Mitochondria,2.0
ACO2,Mitochondria,4.0
ACOT1,Mitochondria,4.0
ACOT11,Cytosol,1.0
ACOT12,Nucleus,2.0
ACOT12,Cytosol,2.0
ACOT13,Plasma membrane,2.0
ACOT2,Mitochondria,2.0
ACOT7,Nucleus,2.0
ACOT7,Cytosol,1.0
ACOT8,Vesicles,1.0
ACOT8,Mitochondria,2.0
ACOT9,Nucleus,2.0
ACOT9,Cytosol,2.0
ACOT9,Plasma membrane,2.0
ACOX1,Nucleus,2.0
ACOX1,Vesicles,3.0
ACOX2,Vesicles,1.0
ACOX2,Mitochondria,2.0
ACOX3,Vesicles,2.0
ACOXL,Nucleolus,2.0
ACOXL,Cytosol,1.0
